steering_percentage,fr_pressure,chassis_drive_mode,pitch,timestamp,engine_rpm,position_y,brake_percentage,yaw_rate,real_axe_pressure,roll,imu_forward_acceleration,rr_pressure,control_cmd_brake,position_z,speed_FL,position_x,cmd_drive_mode,drive_motor_torque_nm,chassis_acc,speed_RL,test_id,steering_target,front_axe_pressure,speed_RR,imu_vel_forward,throttle,acc_cmd,yaw,heading,driving_mode,rl_pressure,gear_location_num,vehicle_speed,imu_sideshift_acceleration,throttle_percentage,speed_FR,speed_cmd,fl_pressure
0.2,0,12,-2,1663209355.66096,550,1060.66863628558,0,0,1128,0.7,0,0,0,-282.705675048223,0,-1974.1473717875,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.68113,550,1060.66864156269,0,0,1128,0.7,0,0,0,-282.705796760996,0,-1974.14726916171,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.7012,550,1060.66866682435,0,0,1128,0.7,0,0,0,-282.705958657814,0,-1974.14718664609,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.72129,550,1060.66867735061,0,0,1128,0.7,0,0,0,-282.706100621455,0,-1974.14711047264,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.74148,550,1060.6686822764,0,0,1128,0.7,0,0,0,-282.706315254538,0,-1974.14695279228,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.76163,550,1060.66870485949,0,0,1128,0.7,0,0,0,-282.706450976783,0,-1974.14687161938,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.78173,551,1060.66871609857,0,0,1128,0.7,0,0,0,-282.70666386551,0,-1974.14671728787,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.80185,550,1060.6687368146,0,0,1128,0.7,0,0,0,-282.706928316731,0,-1974.14659124111,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.82196,550,1060.66874736042,0,0,1128,0.7,0,0,0,-282.707145201953,0,-1974.14644514005,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.84214,549,1060.66876827254,0,0,1128,0.7,0,0,0,-282.707279487448,0,-1974.14637203743,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.86232,550,1060.66877686546,0,0,1128,0.7,0,0,0,-282.707308624528,0,-1974.14635456041,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.88241,551,1060.66879239863,0,0,1128,0.7,0,0,0,-282.707520177235,0,-1974.14620879429,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.90254,551,1060.66880678752,0,0,1128,0.7,0,0,0,-282.70768037633,0,-1974.1461436834,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.92261,551,1060.66883140344,0,0,1128,0.7,0,0,0,-282.707835765259,0,-1974.14609106551,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.94268,550,1060.66885586188,0,0,1128,0.7,0,0,0,-282.708042029725,0,-1974.14594041781,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.96275,550,1060.66887344505,0,0,1128,0.7,0,0,0,-282.708171970352,0,-1974.14587218685,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209355.98285,551,1060.66889311692,0,0,1128,0.7,0,0,0,-282.708305338404,0,-1974.14581634594,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.00303,551,1060.66890320189,0,0,1128,0.7,0,0,0,-282.708546855807,0,-1974.1456729321,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.02315,551,1060.66893360086,0,0,1128,0.7,0,0,0,-282.708703522608,0,-1974.14562128969,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.04327,551,1060.66895722046,0,0,1128,0.7,0,0,0,-282.709028114429,0,-1974.14543174325,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.06346,551,1060.66895930884,0,0,1128,0.7,0,0,0,-282.709166149183,0,-1974.14538415367,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.08353,551,1060.66896708802,0,0,1128,0.7,0,0,0,-282.709393696454,0,-1974.14524178978,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.10371,551,1060.66897789727,0,0,1128,0.7,0,0,0,-282.709546527381,0,-1974.14518567989,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.12385,551,1060.66898186389,0,0,1128,0.7,0,0,0,-282.709774772525,0,-1974.1450494992,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.14392,551,1060.6689743718,0,0,1128,0.7,0,0,0,-282.70993277206,0,-1974.14498787801,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.16408,551,1060.668974213,0,0,1128,0.7,0,0,0,-282.71007359787,0,-1974.14493082398,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.18426,551,1060.66896731827,0,0,1128,0.7,0,0,0,-282.710281571859,0,-1974.14477289646,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.20449,551,1060.66896323775,0,0,1128,0.7,0,0,0,-282.710418917505,0,-1974.14470349525,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.22458,551,1060.66895443503,0,0,1128,0.7,0,0,0,-282.710560513512,0,-1974.14464932684,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
0.2,0,12,-2,1663209356.24476,550,1060.66894452325,0,0,1128,0.7,0,0,0,-282.710797550512,0,-1974.14450423444,0,6,0,0,0,0,1128,0,0,0,0,54.5,0.52,4,0,5,0,0,0,0,0,0
