,engineRpm,speedMps,fuelRangeM,throttlePercentage,brakePercentage,steeringPercentage,parkingBrake,highBeamSignal,drivingMode,errorCode,gearLocation,header_timestampSec,header_moduleName,signal_turnSignal,angularVelocityVrf_z,realSteeringAngle,batterySoc,cmdDrivingMode,driveMotorTorqueNm,batteryVoltage,batteryCurrent,enableButton,disableButton,batch
22,1114,3.34642506,0,0,0,-0.213333338,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.225477,had-canbus,TURN_NONE,0,-1.6,100,0.0,12,556.4,1.9,False,False,0.0
23,1113,3.34642506,0,0,0,-0.213333338,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.2355568,had-canbus,TURN_NONE,0,-1.6,100,0.0,12,556.4,1.9,False,False,0.0
24,1112,3.34642506,0,0,0,-0.213333338,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.2455409,had-canbus,TURN_NONE,0,-1.6,100,0.0,14,556.4,1.9,False,False,0.0
25,1111,3.33078742,0,0,0,-0.4,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.255513,had-canbus,TURN_NONE,0,-3.0,100,0.0,12,556.4,1.9,False,False,0.0
26,1109,3.33078742,0,0,0,-0.4,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.265508,had-canbus,TURN_NONE,0,-3.0,100,0.0,11,556.4,1.9,False,False,0.0
27,1108,3.31515,0,0,0,-0.4,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.275547,had-canbus,TURN_NONE,0,-3.0,100,0.0,11,556.4,1.9,False,False,0.0
28,1106,3.31515,0,0,0,-0.4,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.285501,had-canbus,TURN_NONE,0,-3.0,100,0.0,12,556.4,1.9,False,False,0.0
29,1105,3.31515,0,0,0,-0.4,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.2954738,had-canbus,TURN_NONE,0,-3.0,100,0.0,11,556.4,1.9,False,False,0.0
30,1103,3.31515,0,0,0,-0.50666666,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.3054779,had-canbus,TURN_NONE,0,-3.8,100,0.0,9,556.4,1.9,False,False,0.0
31,1102,3.29951239,0,0,0,-0.50666666,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.3154578,had-canbus,TURN_NONE,0,-3.8,100,0.0,12,556.4,1.9,False,False,0.0
32,1100,3.29951239,0,0,0,-0.50666666,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.325506,had-canbus,TURN_NONE,0,-3.8,100,0.0,11,556.4,1.9,False,False,0.0
33,1098,3.29951239,0,0,0,-0.50666666,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.335567,had-canbus,TURN_NONE,0,-3.8,100,0.0,10,556.4,1.9,False,False,0.0
34,1096,3.28387499,0,0,0,-0.50666666,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.345464,had-canbus,TURN_NONE,0,-3.8,100,0.0,10,556.4,1.9,False,False,0.0
35,1094,3.28387499,0,0,0,-0.533333361,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.355615,had-canbus,TURN_NONE,0,-4.0,100,0.0,13,556.4,1.9,False,False,0.0
36,1092,3.28387499,0,0,0,-0.533333361,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.365646,had-canbus,TURN_NONE,0,-4.0,100,0.0,11,556.4,1.9,False,False,0.0
37,1091,3.28387499,0,0,0,-0.533333361,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.3755279,had-canbus,TURN_NONE,0,-4.0,100,0.0,11,556.4,1.9,False,False,0.0
38,1089,3.28387499,0,0,0,-0.533333361,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.3857808,had-canbus,TURN_NONE,0,-4.0,100,0.0,12,556.4,1.9,False,False,0.0
39,1088,3.28387499,0,0,0,-0.533333361,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.395534,had-canbus,TURN_NONE,0,-4.0,100,0.0,14,556.4,1.9,False,False,0.0
40,1087,3.28387499,0,0,0,-0.453333348,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.40553,had-canbus,TURN_NONE,0,-3.4,100,0.0,13,556.4,1.9,False,False,0.0
41,1086,3.28387499,0,0,0,-0.453333348,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.415516,had-canbus,TURN_NONE,0,-3.4,100,0.0,12,556.4,1.9,False,False,0.0
42,1086,3.28387499,0,0,0,-0.453333348,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.42555,had-canbus,TURN_NONE,0,-3.4,100,0.0,15,556.4,1.9,False,False,0.0
43,1086,3.28387499,0,0,0,-0.453333348,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.435528,had-canbus,TURN_NONE,0,-3.4,100,0.0,14,556.4,1.9,False,False,0.0
44,1086,3.28387499,0,0,0,-0.453333348,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.445515,had-canbus,TURN_NONE,0,-3.4,100,0.0,14,556.4,1.9,False,False,0.0
45,1086,3.28387499,0,0,0,-0.28,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.455502,had-canbus,TURN_NONE,0,-2.1,100,0.0,13,556.4,1.9,False,False,0.0
46,1087,3.28387499,0,0,0,-0.28,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.465503,had-canbus,TURN_NONE,0,-2.1,100,0.0,16,556.4,1.9,False,False,0.0
47,1088,3.29951239,0,0,0,-0.28,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.4755268,had-canbus,TURN_NONE,0,-2.1,100,0.0,14,556.4,1.9,False,False,0.0
48,1089,3.29951239,0,0,0,-0.28,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.4854739,had-canbus,TURN_NONE,0,-2.1,100,0.0,13,556.4,1.9,False,False,0.0
49,1090,3.29951239,0,0,0,-0.28,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.495477,had-canbus,TURN_NONE,0,-2.1,100,0.0,14,556.4,1.9,False,False,0.0
50,1091,3.29951239,0,0,0,-0.16,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.50547,had-canbus,TURN_NONE,0,-1.2,100,0.0,14,556.4,1.9,False,False,0.0
51,1092,3.29951239,0,0,0,-0.16,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.515542,had-canbus,TURN_NONE,0,-1.2,100,0.0,13,556.4,1.9,False,False,0.0
52,1092,3.29951239,0,0,0,-0.16,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.525452,had-canbus,TURN_NONE,0,-1.2,100,0.0,11,556.4,1.9,False,False,0.0
53,1093,3.29951239,0,0,0,-0.16,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.535459,had-canbus,TURN_NONE,0,-1.2,100,0.0,13,556.4,1.9,False,False,0.0
54,1093,3.29951239,0,0,0,-0.16,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.545482,had-canbus,TURN_NONE,0,-1.2,100,0.0,11,556.4,1.9,False,False,0.0
55,1093,3.28387499,0,0,0,-0.0266666673,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.555503,had-canbus,TURN_NONE,0,-0.2,100,0.0,10,556.4,1.9,False,False,0.0
56,1093,3.28387499,0,0,0,-0.0266666673,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.565471,had-canbus,TURN_NONE,0,-0.2,100,0.0,9,556.4,1.9,False,False,0.0
57,1092,3.28387499,0,0,0,-0.0266666673,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.575482,had-canbus,TURN_NONE,0,-0.2,100,0.0,12,556.4,1.9,False,False,0.0
58,1091,3.28387499,0,0,0,-0.0266666673,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.5854778,had-canbus,TURN_NONE,0,-0.2,100,0.0,9,556.4,1.9,False,False,0.0
59,1090,3.26823759,0,0,0,-0.0266666673,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.595546,had-canbus,TURN_NONE,0,-0.2,100,0.0,9,556.4,1.9,False,False,0.0
60,1089,3.26823759,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.605505,had-canbus,TURN_NONE,0,0.5,100,0.0,9,556.4,1.9,False,False,0.0
61,1087,3.26823759,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.615566,had-canbus,TURN_NONE,0,0.5,100,0.0,10,556.4,1.9,False,False,0.0
